url,title
https://www.amazon.com/Yankee-Candle-Large-Jar-Harvest/product-reviews/B000W3RVA2?reviewerType=all_reviews,"Customer reviews: Yankee Candle Harvest Scented, Classic ..."
https://www.amazon.com/product-reviews/B07ZQ8XLHP,Customer reviews: Yankee Candle Large Jar ... - Amazon.com
https://www.amazon.com/Yankee-Candle-Large-Home-Sweet/dp/B000WUFVR0,"Yankee Candle Home Sweet Home Scented, Classic 22oz ..."
https://www.amazon.com/Yankee-Candle-Large-Jar-Wedding/product-reviews/B0014SUGEW,Customer reviews: Yankee Candle Wedding Day Scented ...
https://www.amazon.com/Yankee-Candle-Large-Jar-Harvest/product-reviews/B000W3RVA2,"Customer reviews: Yankee Candle Harvest Scented, Classic ..."
https://www.amazon.com/Yankee-Candle-Large-Mediterranean-Breeze/dp/B01MTS599T,"Yankee Candle Mediterranean Breeze Scented, Classic ..."
https://www.amazon.com/Yankee-Candle-Large-Fresh-Roses/dp/B00069ZDJS,"Yankee Candle Fresh Cut Roses Scented, Classic 22oz ..."
https://www.amazon.com/product-reviews/B07FCSTXFX?reviewerType=all_reviews,Customer reviews: Yankee Candle Enchanted Moon Scented ...
https://www.amazon.com/Yankee-Candle-Large-White-Gardenia/product-reviews/B006QOK0ZY,Customer reviews: Yankee Candle White Gardenia Scented ...
https://www.amazon.com/Yankee-Candle-Large-Jar-Harvest/product-reviews/B000W3RVA2?reviewerType=all_reviews,"Customer reviews: Yankee Candle Harvest Scented, Classic ..."
https://www.amazon.com/Yankee-Candle-Elevation-Collection-Platform/product-reviews/B07D38TCQP,Customer reviews: Yankee Candle Elevation ... - Amazon.com
https://www.amazon.com/Yankee-Candle-Large-Home-Sweet/dp/B000WUFVR0,"Yankee Candle Home Sweet Home Scented, Classic 22oz ..."
https://www.amazon.com/Yankee-Candle-Large-Jar-Wedding/product-reviews/B0014SUGEW,Customer reviews: Yankee Candle Wedding Day Scented ...
https://www.amazon.com/Yankee-Candle-Large-Jar-Harvest/product-reviews/B000W3RVA2,"Customer reviews: Yankee Candle Harvest Scented, Classic ..."
https://www.amazon.com/Yankee-Candle-Large-Mediterranean-Breeze/dp/B01MTS599T,"Yankee Candle Mediterranean Breeze Scented, Classic ..."
https://www.amazon.com/Yankee-Candle-Large-Fresh-Roses/dp/B00069ZDJS,"Yankee Candle Fresh Cut Roses Scented, Classic 22oz ..."
https://www.amazon.com/product-reviews/B07FCSTXFX?reviewerType=all_reviews,Customer reviews: Yankee Candle Enchanted Moon Scented ...
https://www.amazon.com/gp/aw/reviews/B000W3V8II,Customer reviews: Yankee Candle Autumn Leaves Scented ...
https://www.amazon.com/Yankee-Candle-Large-White-Gardenia/product-reviews/B006QOK0ZY,Customer reviews: Yankee Candle White Gardenia Scented ...
https://www.amazon.com/Yankee-Candle-Large-Jar-Harvest/product-reviews/B000W3RVA2?reviewerType=all_reviews,"Customer reviews: Yankee Candle Harvest Scented, Classic ..."
https://www.amazon.com/Yankee-Candle-Elevation-Collection-Platform/product-reviews/B07D38TCQP,Customer reviews: Yankee Candle Elevation ... - Amazon.com
https://www.amazon.com/Yankee-Candle-Large-Jar-Wedding/product-reviews/B0014SUGEW,Customer reviews: Yankee Candle Wedding Day Scented ...
https://www.amazon.com/Yankee-Candle-Large-Jar-Harvest/product-reviews/B000W3RVA2,"Customer reviews: Yankee Candle Harvest Scented, Classic ..."
https://www.amazon.com/Yankee-Candle-Large-Mediterranean-Breeze/dp/B01MTS599T,"Yankee Candle Mediterranean Breeze Scented, Classic ..."
https://www.amazon.com/Yankee-Candle-Large-Fresh-Roses/dp/B00069ZDJS,"Yankee Candle Fresh Cut Roses Scented, Classic 22oz ..."
https://www.amazon.com/product-reviews/B07FCSTXFX?reviewerType=all_reviews,Customer reviews: Yankee Candle Enchanted Moon Scented ...
https://www.amazon.com/gp/aw/reviews/B000W3V8II,Customer reviews: Yankee Candle Autumn Leaves Scented ...
https://www.amazon.com/Yankee-Candle-Large-White-Gardenia/product-reviews/B006QOK0ZY,Customer reviews: Yankee Candle White Gardenia Scented ...
https://www.amazon.com/Yankee-Candle-Large-Jar-Harvest/product-reviews/B000W3RVA2?reviewerType=all_reviews,"Customer reviews: Yankee Candle Harvest Scented, Classic ..."
https://www.amazon.com/Yankee-Candle-Elevation-Collection-Platform/product-reviews/B07D38TCQP,Customer reviews: Yankee Candle Elevation ... - Amazon.com
https://www.amazon.com/Yankee-Candle-Large-Balsam-Cedar/dp/B000JDGC78,"Yankee Candle Balsam & Cedar Scented, Classic 22oz ..."
https://www.amazon.com/Yankee-Candle-Large-Jar-Harvest/product-reviews/B000W3RVA2,"Customer reviews: Yankee Candle Harvest Scented, Classic ..."
https://www.amazon.com/Yankee-Candle-Large-Mediterranean-Breeze/dp/B01MTS599T,"Yankee Candle Mediterranean Breeze Scented, Classic ..."
https://www.amazon.com/Yankee-Candle-Large-Fresh-Roses/dp/B00069ZDJS,"Yankee Candle Fresh Cut Roses Scented, Classic 22oz ..."
https://www.amazon.com/product-reviews/B07FCSTXFX?reviewerType=all_reviews,Customer reviews: Yankee Candle Enchanted Moon Scented ...
https://www.amazon.com/Yankee-Candle-Large-White-Gardenia/product-reviews/B006QOK0ZY,Customer reviews: Yankee Candle White Gardenia Scented ...
https://www.amazon.com/Yankee-Candle-Large-Jar-Harvest/product-reviews/B000W3RVA2?reviewerType=all_reviews,"Customer reviews: Yankee Candle Harvest Scented, Classic ..."
https://www.amazon.com/Yankee-Candle-Elevation-Collection-Platform/product-reviews/B07D38TCQP,Customer reviews: Yankee Candle Elevation ... - Amazon.com
https://www.amazon.com/Yankee-Candle-Large-Soft-Blanket/product-reviews/B004IB12UY,Customer reviews: Yankee Candle Soft Blanket Scented ...
https://www.amazon.com/Yankee-Candle-Misty-Mountains-Large/product-reviews/B078GTX5LW?reviewerType=all_reviews,Customer reviews: Yankee Candle 5038581033693 jar Large ...
https://www.amazon.com/Yankee-Candle-Large-Balsam-Cedar/dp/B000JDGC78,"Yankee Candle Balsam & Cedar Scented, Classic 22oz ..."
https://www.amazon.com/Yankee-Candle-Large-Mediterranean-Breeze/dp/B01MTS599T,"Yankee Candle Mediterranean Breeze Scented, Classic ..."
https://www.amazon.com/Yankee-Candle-Large-Fresh-Roses/dp/B00069ZDJS,"Yankee Candle Fresh Cut Roses Scented, Classic 22oz ..."
https://www.amazon.com/product-reviews/B07FCSTXFX?reviewerType=all_reviews,Customer reviews: Yankee Candle Enchanted Moon Scented ...
https://www.amazon.com/Yankee-Candle-Large-White-Gardenia/product-reviews/B006QOK0ZY,Customer reviews: Yankee Candle White Gardenia Scented ...
